# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,3.649552666104730994e-09,-1.500000000000000000e+00,0.000000000000000000e+00,-8.849778346606055434e-16,3.637340993376458434e-07,0.000000000000000000e+00,0.000000000000000000e+00,-1.586441201363775503e-13,2.895250318345884494e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-4.440892098500626162e-15,1.148443931423893242e-07,-1.500000000000000000e+00,0.000000000000000000e+00,-4.366877340947255054e-13,5.703644585678189808e-06,0.000000000000000000e+00,0.000000000000000000e+00,-3.897877758175672169e-11,2.258412805642256418e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,-2.451372438372345641e-13,8.575477943884673000e-07,-1.500000000000000000e+00,0.000000000000000000e+00,-1.617665451244817996e-11,2.829577771344173121e-05,0.000000000000000000e+00,0.000000000000000000e+00,-9.585756114690329589e-10,7.430634012054741951e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,-4.208189352539193351e-12,3.553171185094507387e-06,-1.500000000000000000e+00,0.000000000000000000e+00,-2.075682074164993898e-10,8.762660026907602689e-05,0.000000000000000000e+00,0.000000000000000000e+00,-9.185589814175783199e-09,1.716766046075894397e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,-3.788636071533346694e-11,1.066109948389836506e-05,-1.500000000000000000e+00,0.000000000000000000e+00,-1.489707181092892189e-09,2.095994671992126770e-04,0.000000000000000000e+00,0.000000000000000000e+00,-5.251211074457354170e-08,3.267601949974436107e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,-2.267304122227642438e-10,2.608047653825772144e-05,-1.500000000000000000e+00,0.000000000000000000e+00,-7.403002503452819946e-09,4.257784069708784669e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.165120834219054270e-07,5.501466699652946685e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,-1.023610973760469278e-09,5.541509395118370332e-05,-1.500000000000000000e+00,0.000000000000000000e+00,-2.854499179217710070e-08,7.726683220417434337e-04,0.000000000000000000e+00,0.000000000000000000e+00,-7.124072475375636141e-07,8.510218069664104296e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,-3.759705213823849590e-09,1.062031816708234715e-04,-1.500000000000000000e+00,0.000000000000000000e+00,-9.140771296486930669e-08,1.291030710629884016e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.987164115891456185e-06,1.237237756486294846e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,-1.179560760178333112e-08,1.881138542284364196e-04,-1.500000000000000000e+00,0.000000000000000000e+00,-2.539830539477843522e-07,2.025234023769216518e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.885628731661235850e-06,1.715381430867125856e-02,0.000000000000000000e+00,0.000000000000000000e+00
