# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
0.000000000000000000e+00,6.868031509822574161e-16,3.301938225876237720e-17,-1.499999999999999334e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,9.760015538391406383e-08,9.150014640526993371e-09,-1.500000057035089984e+00,0.000000000000000000e+00,9.713284963194427531e-06,9.106204861299546537e-07,-5.676200895367429694e-06,0.000000000000000000e+00,7.714723951078310445e-04,7.232554076888271283e-05,-4.508291799965331707e-04,0.000000000000000000e+00
1.000000000000000056e-01,3.049123074641082190e-06,2.858553903578516734e-07,-1.500001781831270975e+00,0.000000000000000000e+00,1.509881823095542651e-04,1.415515220733537801e-05,-8.823371660935035805e-05,0.000000000000000000e+00,5.951992568179413808e-03,5.580002029558294536e-04,-3.478195441104497011e-03,0.000000000000000000e+00
1.500000000000000222e-01,2.260203409752481663e-05,2.118946309023652452e-06,-1.500013208062327630e+00,0.000000000000000000e+00,7.424580592949853565e-04,6.960581178588102450e-05,-4.338738399060609722e-04,0.000000000000000000e+00,1.936520023094074477e-02,1.815509251446823522e-03,-1.131653366980750995e-02,0.000000000000000000e+00
2.000000000000000111e-01,9.296019030155049611e-05,8.715112781896521999e-06,-1.500054323588421390e+00,0.000000000000000000e+00,2.278731077787751053e-03,2.136356931661626761e-04,-1.331632356474022737e-03,0.000000000000000000e+00,4.423297445047527643e-02,4.147045808519628229e-03,-2.584859537568741372e-02,0.000000000000000000e+00
2.500000000000000000e-01,2.768462465477692053e-04,2.595517769414082250e-05,-1.500161781823226459e+00,0.000000000000000000e+00,5.401244652098617649e-03,5.063995448479544472e-04,-3.156344457509542567e-03,0.000000000000000000e+00,8.321233866164592929e-02,7.802304098398113799e-03,-4.862693504334194422e-02,0.000000000000000000e+00
3.000000000000000444e-01,6.721507308140945098e-04,6.301909514659515270e-05,-1.500392786891933561e+00,0.000000000000000000e+00,1.087083012011945925e-02,1.019300906241159916e-03,-6.352602812013941058e-03,0.000000000000000000e+00,1.384266498815273638e-01,1.298214089540979631e-02,-8.089195934837906110e-02,0.000000000000000000e+00
3.500000000000000333e-01,1.417245386641218310e-03,1.328888281250317164e-04,-1.500828197475337022e+00,0.000000000000000000e+00,1.954165619093864784e-02,1.832639062499982242e-03,-1.141950922878853802e-02,0.000000000000000000e+00,2.114892864704149000e-01,1.984210714285694621e-02,-1.235854551243169286e-01,0.000000000000000000e+00
4.000000000000000222e-01,2.695019706090377460e-03,2.527379349538997309e-04,-1.501574882980228010e+00,0.000000000000000000e+00,3.233613876793945546e-02,3.033429375549967673e-03,-1.889597118209936089e-02,0.000000000000000000e+00,3.035184237343764302e-01,2.849585170971180928e-02,-1.773587395758658980e-01,0.000000000000000000e+00
4.500000000000000111e-01,4.735677417897307673e-03,4.442163743361044219e-04,-1.502767352305773851e+00,0.000000000000000000e+00,5.022034804416322662e-02,4.713390647376863515e-03,-2.934626004763255663e-02,0.000000000000000000e+00,4.151420666169817753e-01,3.901839925224612204e-02,-2.425749283267140122e-01,0.000000000000000000e+00
